Question,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (Seconds),Correct Answer
"Trong mô hình 3 cấp độ hạnh phúc, cấp độ nào được đánh giá là có khả năng duy trì bền lâu nhất theo thời gian?",Thú vui (Pleasure),Đam mê (Passion),Mục đích cao cả (Higher Purpose),Sự tự chủ (Autonomy),30,3
"Theo lý thuyết được trình bày, sự khác biệt chính giữa 'thú vui sở hữu' và 'thú vui trải nghiệm' là gì?",Thú vui sở hữu tốn nhiều chi phí hơn thú vui trải nghiệm.,Thú vui trải nghiệm có khả năng duy trì cảm giác hạnh phúc lâu hơn sở hữu.,Chỉ có thú vui trải nghiệm mới được coi là một cấp độ hạnh phúc thực sự.,Thú vui sở hữu là nền tảng bắt buộc để đạt được thú vui trải nghiệm.,30,2
"Ba đòn bẩy hạnh phúc (Progress, Control, Connectedness) được phát triển dựa trên lý thuyết tâm lý học nào?",Lý thuyết tháp nhu cầu của Maslow,Lý thuyết tự quyết (Self-Determination Theory),Lý thuyết tâm lý học tích cực của Martin Seligman,Lý thuyết dòng chảy (Flow Theory),30,2
Đòn bẩy 'Cảm giác tiến bộ' (Sense of Progress) nhấn mạnh vào yếu tố nào sau đây để duy trì hạnh phúc?,Phải đạt được những thành tựu vĩ đại và có sức ảnh hưởng lớn ngay lập tức.,Ghi nhận và trân trọng những chiến thắng nhỏ (small wins) hàng ngày.,Chỉ dựa vào sự vinh danh và khen thưởng từ cấp trên hoặc người ngoài.,Loại bỏ hoàn toàn các sai lầm và thất bại trong quá trình làm việc.,30,2
Trạng thái 'Tỉnh thức' (Mindfulness) trong 5 thói quen hạnh phúc được định nghĩa như thế nào?,Là việc loại bỏ hoàn toàn mọi suy nghĩ tiêu cực ra khỏi tâm trí.,Tập trung chú ý vào khoảnh khắc hiện tại một cách có ý thức và không phán xét.,Dành ít nhất 2 giờ mỗi ngày để ngồi thiền trong không gian yên tĩnh.,Suy ngẫm về những bài học trong quá khứ để không lặp lại sai lầm.,30,2
"Theo Mihaly Csikszentmihalyi, điều kiện then chốt để trạng thái 'Phiêu' (Flow) diễn ra là gì?",Nhiệm vụ phải cực kỳ dễ dàng để không gây ra sự căng thẳng.,Sự cân bằng giữa thách thức của nhiệm vụ và kỹ năng của người thực hiện.,Phải có sự hỗ trợ liên tục từ đồng nghiệp trong quá trình làm việc.,Mục tiêu cuối cùng phải là phần thưởng tài chính hấp dẫn.,30,2
"Trong 'Thỏa thuận văn hóa' (Culture Pact), yếu tố nào được coi là quan trọng nhất để tạo ra môi trường chia sẻ an toàn?",Việc thiết lập các hình thức chế tài nghiêm khắc cho người vi phạm.,Sự hiện diện của các quy định và quy trình làm việc phức tạp.,Lắng nghe mà không phán xét và cam kết thực hiện các hành vi đã thỏa thuận.,Đảm bảo mọi người đều có cùng một quan điểm và ý kiến giống nhau.,30,3
Thói quen 'Biết ơn' (Gratitude) được thực hành thông qua hành động cụ thể nào theo gợi ý của chuyên gia Robert Emmons?,Viết thư cảm ơn cho tất cả những người mình đã từng gặp trong đời.,Chỉ biết ơn khi nhận được những món quà hoặc lợi ích lớn lao.,Nhìn thấy những điều mọi người làm đúng và trân trọng những điều tích cực hiện có.,Khoe khoang về những thành công của mình để người khác ngưỡng mộ.,30,3
Tại sao việc 'Tự chủ' (Sense of Control) lại được coi là một đòn bẩy quan trọng cho hạnh phúc tại nơi làm việc?,Vì nó cho phép nhân viên làm bất cứ điều gì họ muốn mà không cần báo cáo.,Vì con người cảm thấy hạnh phúc hơn khi có quyền lựa chọn và kiểm soát cách họ thực hiện công việc.,Vì nó giúp giảm bớt trách nhiệm của quản lý đối với nhân viên.,Vì sự tự chủ giúp loại bỏ hoàn toàn mọi sự căng thẳng (stress).,30,2
Aristotle (200BC) đã đưa ra quan điểm cốt lõi nào về hạnh phúc mà DH vẫn kế thừa?,Hạnh phúc là sự ban ơn từ các vị thần.,Hạnh phúc phụ thuộc hoàn toàn vào các yếu tố ngoại cảnh và sự may mắn.,Hạnh phúc phụ thuộc vào chính chúng ta và là mục đích tồn tại của con người.,Hạnh phúc chỉ có thể đạt được thông qua việc từ bỏ mọi ham muốn vật chất.,30,3
Mối quan hệ giữa 'Giá trị cốt lõi' và 'Hành vi' trong mô hình xây dựng hạnh phúc bền lâu là gì?,Giá trị cốt lõi quan trọng hơn vì nó là thứ có thể quan sát được trực tiếp.,Hành vi là sự thể hiện cụ thể ra bên ngoài của các giá trị cốt lõi mà chúng ta theo đuổi.,Chỉ cần có giá trị cốt lõi tốt thì không cần quan tâm đến hành vi.,"Giá trị và hành vi là hai yếu tố hoàn toàn tách biệt, không liên quan đến nhau.",30,2
Đặc điểm nào của cấp độ hạnh phúc 'Đam mê' (Passion) khiến nó khác biệt với 'Thú vui' (Pleasure)?,Đam mê không tốn kém tiền bạc như thú vui.,Đam mê làm cho thời gian trôi qua nhanh hơn và tạo ra sự gắn kết sâu sắc hơn.,Đam mê kéo dài vĩnh viễn và không bao giờ kết thúc.,Chỉ những người có năng khiếu đặc biệt mới có được đam mê.,30,2
Đòn bẩy 'Kết nối' (Sense of Connectedness) nhấn mạnh điều gì trong môi trường tổ chức?,Mỗi cá nhân nên làm việc độc lập hoàn toàn để tăng hiệu suất.,Xây dựng các mối quan hệ có ý nghĩa và cảm giác thuộc về một cộng đồng.,Chỉ cần kết nối với những người có tầm ảnh hưởng lớn trong công ty.,Sử dụng các công cụ công nghệ để thay thế hoàn toàn các tương tác trực tiếp.,30,2
Vì sao thói quen 'Vị nhân' (Altruism) lại góp phần tạo nên hạnh phúc cho chính người thực hiện?,Vì người thực hiện hy vọng sẽ được trả ơn hậu hĩnh trong tương lai.,Vì việc giúp đỡ người khác kích hoạt các vùng não liên quan đến sự thỏa mãn và tạo ra ý nghĩa sống.,Vì nó giúp người thực hiện trở nên nổi tiếng và được nhiều người biết đến.,Vì đây là nghĩa vụ bắt buộc trong mọi tôn giáo.,30,2
"Trong thói quen 'Tỉnh thức', khái niệm 'Chụp mũ' (Presence) được hiểu như thế nào?",Là việc áp đặt ý kiến của mình lên người khác một cách nhanh chóng.,"Sự hiện diện trọn vẹn, không bị chi phối bởi quá khứ hay lo sợ về tương lai.",Việc luôn luôn phải có mặt ở mọi sự kiện của công ty.,Cố gắng đoán trước những gì sắp xảy ra để chuẩn bị.,30,2
Điều gì xảy ra nếu con người chỉ mãi đuổi theo hạnh phúc ở cấp độ 'Thú vui' (Pleasure)?,Họ sẽ đạt được sự mãn nguyện tuyệt đối và không cần thêm gì nữa.,"Họ dễ rơi vào vòng lặp 'hedonic treadmill', luôn phải tìm kiếm đỉnh cao mới nhưng không bao giờ cảm thấy đủ.",Họ sẽ trở nên thông minh và thành công hơn những người khác.,Hạnh phúc của họ sẽ trở nên ổn định và ít biến động hơn.,30,2
"Theo tài liệu, 'Lạc quan' (Optimism) trong 5 thói quen hạnh phúc không có nghĩa là gì?",Tin tưởng vào khả năng vượt qua thử thách của bản thân.,Sự mơ mộng hão huyền và phớt lờ hoàn toàn các rủi ro có thật.,Tìm kiếm các cơ hội trong những tình huống bất lợi.,Duy trì thái độ tích cực ngay cả khi kết quả chưa như ý.,30,2
Tại sao việc thực hiện 'Mục đích cao cả' lại giúp con người vượt qua được những khó khăn thường nhật?,Vì nó làm cho khó khăn hoàn toàn biến mất khỏi cuộc sống.,Vì ý nghĩa của mục đích giúp cá nhân cảm thấy những nỗ lực của mình là xứng đáng và có giá trị.,Vì khi đó họ sẽ nhận được sự trợ giúp đặc biệt từ cộng đồng.,Vì mục đích cao cả luôn đi kèm với sự giàu sang về tiền bạc.,30,2
"Câu nói 'Người ta hạnh phúc không phải vì những gì họ làm, mà vì cách họ làm' của Mihaly Csikszentmihalyi có ý nghĩa gì?",Công việc nào cũng mang lại hạnh phúc như nhau nếu được trả lương cao.,Thái độ và sự tập trung (trạng thái Flow) trong quá trình thực hiện mới là nguồn gốc của hạnh phúc.,Chỉ có những công việc mang tính sáng tạo mới mang lại hạnh phúc.,Hạnh phúc chỉ đến sau khi công việc đã được hoàn thành xuất sắc.,30,2
"Để duy trì hạnh phúc bền lâu trong một tổ chức, yếu tố nào dưới đây đóng vai trò là 'nền tảng' (foundation)?",Lợi nhuận hàng năm của công ty.,Giá trị cốt lõi và các hành vi tương ứng.,Các chuyến du lịch nghỉ dưỡng xa hoa định kỳ.,Các thiết bị văn phòng hiện đại và tiện nghi.,30,2
Thói quen 'Tỉnh thức' giúp gì cho việc thực hành 4 thói quen hạnh phúc còn lại?,"Nó không có liên quan gì, mỗi thói quen đều hoạt động độc lập.",Nó tạo ra nền tảng sự tập trung để cá nhân có thể nhận diện và thực hiện các thói quen khác một cách có ý thức.,Nó giúp thay thế hoàn toàn nhu cầu về 'Mục đích cao cả'.,Nó giúp chúng ta quên đi những lỗi lầm của bản thân và người khác.,30,2
Tác động tiêu cực nhất của việc thiếu 'Cảm giác kết nối' (Sense of Connectedness) là gì?,Lương của nhân viên sẽ bị giảm sút.,"Sự cô lập, giảm lòng tin và tăng mức độ căng thẳng tinh thần.",Công ty sẽ không thể áp dụng các công nghệ mới.,Mọi người sẽ làm việc nhanh hơn vì không bị xao nhãng bởi trò chuyện.,30,2
Việc ghi nhận 'Small Wins' giúp ích gì cho đòn bẩy 'Tiến bộ'?,Giúp tiết kiệm ngân sách khen thưởng của công ty.,"Tạo ra cảm giác tiến lên liên tục, giúp nuôi dưỡng sự tự tin và động lực bền bỉ.",Giúp nhân viên không còn cần đến sự phản hồi (feedback) từ quản lý.,Làm cho nhân viên cảm thấy thỏa mãn và ngừng cố gắng.,30,2
"Phong Từ Khải trong 'Sống vốn đơn thuần' chia đời người thành 3 tầng lầu, tầng thứ hai là gì?",Cuộc sống vật chất,Cuộc sống tinh thần,Cuộc sống tâm hồn (tâm linh),Cuộc sống danh vọng,30,2
Một 'Thỏa thuận văn hóa' thành công phải dựa trên điều gì từ mỗi cá nhân?,Sự sợ hãi trước các quy định chung.,Sự cam kết tự nguyện và cùng nhau thực hiện.,Việc ký kết các văn bản pháp lý chặt chẽ.,Sự đồng ý tuyệt đối với mọi ý kiến của lãnh đạo.,30,2
Thói quen 'Phiêu' (Flow) thường khiến con người có cảm giác như thế nào về thời gian?,Thời gian như ngừng trôi và rất nặng nề.,Thời gian trôi qua cực kỳ nhanh mà họ không hề hay biết.,Họ luôn phải nhìn đồng hồ để chờ đợi kết thúc công việc.,Họ cảm thấy mỗi giây phút đều trôi qua chậm chạp và ý nghĩa.,30,2
Hệ quả của việc bộ não chúng ta 'rất dở trong việc dự đoán điều gì giúp duy trì hạnh phúc bền lâu' là gì?,Chúng ta sẽ không bao giờ cảm thấy hạnh phúc.,"Chúng ta thường nhầm lẫn giữa thú vui ngắn hạn và ý nghĩa dài hạn, dẫn đến việc theo đuổi sai mục tiêu.",Chúng ta sẽ ngừng tìm kiếm hạnh phúc.,Chúng ta sẽ trở nên bi quan về mọi thứ.,30,2
"Trong khoa học hạnh phúc, phản hồi (feedback) được coi là một công cụ để thúc đẩy đòn bẩy nào?",Sự tự chủ (Control),Sự tiến bộ (Progress),Sự kết nối (Connectedness),Thú vui (Pleasure),30,2
Làm thế nào để chuyển đổi một công việc nhàm chán thành một hoạt động mang lại cảm giác 'Tiến bộ'?,Yêu cầu tăng lương cho công việc đó.,"Đặt ra các mục tiêu nhỏ, đo lường kết quả và tự ghi nhận khi hoàn thành.",Cố gắng làm việc đó thật nhanh để được nghỉ ngơi.,Phàn nàn với đồng nghiệp về sự nhàm chán của nó.,30,2
Định nghĩa về 'Hạnh phúc tự thân' theo cách hiểu của DH dựa trên triết lý của Aristotle là gì?,Hạnh phúc chỉ đến khi người khác đối xử tốt với mình.,"Hạnh phúc do chính mình tạo ra thông qua thái độ, lựa chọn và thói quen rèn luyện hàng ngày.",Hạnh phúc là việc sở hữu thật nhiều kiến thức về triết học.,Hạnh phúc là một trạng thái may mắn ngẫu nhiên không thể kiểm soát.,30,2
